"words_recalled","treatment"
10,"caffeine"
8,"caffeine"
11,"caffeine"
7,"caffeine"
6,"caffeine"
10,"caffeine"
7,"caffeine"
13,"caffeine"
8,"caffeine"
11,"caffeine"
10,"caffeine"
7,"caffeine"
13,"caffeine"
11,"caffeine"
9,"caffeine"
10,"caffeine"
11,"caffeine"
9,"caffeine"
1,"caffeine"
10,"caffeine"
8,"caffeine"
17,"nap"
11,"nap"
14,"nap"
15,"nap"
14,"nap"
13,"nap"
17,"nap"
13,"nap"
19,"nap"
13,"nap"
17,"nap"
19,"nap"
9,"nap"
12,"nap"
13,"nap"
15,"nap"
12,"nap"
6,"nap"
6,"nap"
12,"nap"
14,"nap"
14,"placebo"
10,"placebo"
6,"placebo"
11,"placebo"
14,"placebo"
16,"placebo"
10,"placebo"
10,"placebo"
6,"placebo"
12,"placebo"
9,"placebo"
12,"placebo"
13,"placebo"
14,"placebo"
9,"placebo"
12,"placebo"
6,"placebo"
9,"placebo"
9,"placebo"
5,"placebo"
11,"placebo"
