"year","month","date_of_month","day_of_week","births","weekend"
2000,"January",1,"Saturday",9083,TRUE
2000,"January",2,"Sunday",8006,TRUE
2000,"January",3,"Monday",11363,FALSE
2000,"January",4,"Tuesday",13032,FALSE
2000,"January",5,"Wednesday",12558,FALSE
2000,"January",6,"Thursday",12466,FALSE
2000,"January",7,"Friday",12516,FALSE
2000,"January",8,"Saturday",8934,TRUE
2000,"January",9,"Sunday",7949,TRUE
2000,"January",10,"Monday",11668,FALSE
2000,"January",11,"Tuesday",12611,FALSE
2000,"January",12,"Wednesday",12398,FALSE
2000,"January",13,"Thursday",11815,FALSE
2000,"January",14,"Friday",12180,FALSE
2000,"January",15,"Saturday",8525,TRUE
2000,"January",16,"Sunday",7657,TRUE
2000,"January",17,"Monday",10824,FALSE
2000,"January",18,"Tuesday",12350,FALSE
2000,"January",19,"Wednesday",12405,FALSE
2000,"January",20,"Thursday",12506,FALSE
2000,"January",21,"Friday",11953,FALSE
2000,"January",22,"Saturday",8855,TRUE
2000,"January",23,"Sunday",7856,TRUE
2000,"January",24,"Monday",11449,FALSE
2000,"January",25,"Tuesday",12593,FALSE
2000,"January",26,"Wednesday",12143,FALSE
2000,"January",27,"Thursday",12408,FALSE
2000,"January",28,"Friday",11934,FALSE
2000,"January",29,"Saturday",8805,TRUE
2000,"January",30,"Sunday",7764,TRUE
2000,"January",31,"Monday",11133,FALSE
2000,"February",1,"Tuesday",12614,FALSE
2000,"February",2,"Wednesday",12465,FALSE
2000,"February",3,"Thursday",12062,FALSE
2000,"February",4,"Friday",12035,FALSE
2000,"February",5,"Saturday",8624,TRUE
2000,"February",6,"Sunday",7862,TRUE
2000,"February",7,"Monday",11630,FALSE
2000,"February",8,"Tuesday",12879,FALSE
2000,"February",9,"Wednesday",12315,FALSE
2000,"February",10,"Thursday",12612,FALSE
2000,"February",11,"Friday",12411,FALSE
2000,"February",12,"Saturday",8836,TRUE
2000,"February",13,"Sunday",7933,TRUE
2000,"February",14,"Monday",12152,FALSE
2000,"February",15,"Tuesday",13017,FALSE
2000,"February",16,"Wednesday",12504,FALSE
2000,"February",17,"Thursday",12520,FALSE
2000,"February",18,"Friday",12406,FALSE
2000,"February",19,"Saturday",8861,TRUE
2000,"February",20,"Sunday",7943,TRUE
2000,"February",21,"Monday",10610,FALSE
2000,"February",22,"Tuesday",12664,FALSE
