"subjectID","sex","age","camera","memory_task","attn_check","memory_score"
21726,"female",26,"Yes","visual",1,55.55555556
21726,"female",26,"Yes","audio",1,77.77777778
28220,"male",34,"Yes","visual",0,77.77777778
28220,"male",34,"Yes","audio",0,100
31980,"female",22,"Yes","audio",1,55.55555556
31980,"female",22,"Yes","visual",1,88.88888889
32175,"male",25,"No","audio",0,55.55555556
32175,"male",25,"No","visual",0,77.77777778
33282,"male",23,"No","audio",1,88.88888889
33282,"male",23,"No","visual",1,44.44444444
33839,"female",26,"No","visual",1,44.44444444
33839,"female",26,"No","audio",1,100
34611,"female",27,"No","audio",1,100
34611,"female",27,"No","visual",1,55.55555556
34984,"male",22,"No","audio",1,88.88888889
34984,"male",22,"No","visual",1,44.44444444
35069,"male",22,"No","audio",1,77.77777778
35069,"male",22,"No","visual",1,44.44444444
35153,"male",21,"Yes","visual",1,77.77777778
35153,"male",21,"Yes","audio",1,44.44444444
35161,"female",21,"Yes","audio",1,88.88888889
35161,"female",21,"Yes","visual",1,66.66666667
35183,"male",21,"No","audio",1,88.88888889
35183,"male",21,"No","visual",1,66.66666667
35194,"male",22,"Yes","audio",1,55.55555556
35194,"male",22,"Yes","visual",1,77.77777778
35334,"male",22,"Yes","visual",1,66.66666667
35334,"male",22,"Yes","audio",1,77.77777778
35365,"male",22,"Yes","visual",1,77.77777778
35365,"male",22,"Yes","audio",1,77.77777778
35396,"male",21,"No","audio",1,77.77777778
35396,"male",21,"No","visual",1,33.33333333
35397,"male",23,"Yes","audio",1,77.77777778
35397,"male",23,"Yes","visual",1,88.88888889
35448,"male",21,"No","audio",1,77.77777778
35448,"male",21,"No","visual",1,88.88888889
35465,"male",21,"Yes","audio",1,77.77777778
35465,"male",21,"Yes","visual",1,44.44444444
35467,"male",21,"No","audio",1,77.77777778
35467,"male",21,"No","visual",1,44.44444444
35477,"female",22,"No","audio",1,88.88888889
35477,"female",22,"No","visual",1,44.44444444
35497,"male",21,"No","audio",1,88.88888889
35497,"male",21,"No","visual",1,55.55555556
35536,"female",21,"No","audio",1,44.44444444
35536,"female",21,"No","visual",1,44.44444444
35539,"female",22,"Yes","audio",1,88.88888889
35539,"female",22,"Yes","visual",1,77.77777778
35573,"male",22,"No","audio",1,33.33333333
35573,"male",22,"No","visual",1,55.55555556
35580,"female",21,"No","audio",1,88.88888889
35580,"female",21,"No","visual",1,55.55555556
35585,"female",21,"Yes","audio",1,77.77777778
35585,"female",21,"Yes","visual",1,55.55555556
35661,"male",22,"No","visual",1,55.55555556
35661,"male",22,"No","audio",1,66.66666667
35687,"female",21,"Yes","audio",1,44.44444444
35687,"female",21,"Yes","visual",1,33.33333333
35703,"male",21,"No","audio",1,100
35703,"male",21,"No","visual",1,66.66666667
35788,"male",21,"No","audio",1,55.55555556
35788,"male",21,"No","visual",1,88.88888889
35836,"female",21,"No","audio",1,66.66666667
35836,"female",21,"No","visual",1,77.77777778
35919,"female",21,"No","audio",1,77.77777778
35919,"female",21,"No","visual",1,33.33333333
35949,"female",22,"Yes","audio",1,55.55555556
35949,"female",22,"Yes","visual",1,66.66666667
36013,"male",21,"No","audio",1,55.55555556
36013,"male",21,"No","visual",1,33.33333333
36160,"male",22,"No","audio",1,55.55555556
36160,"male",22,"No","visual",1,33.33333333
36173,"male",22,"No","audio",1,55.55555556
36173,"male",22,"No","visual",1,55.55555556
36204,"male",21,"Yes","audio",1,66.66666667
36204,"male",21,"Yes","visual",1,55.55555556
36211,"male",21,"No","audio",1,55.55555556
36211,"male",21,"No","visual",1,77.77777778
36287,"male",21,"No","audio",1,100
36287,"male",21,"No","visual",1,77.77777778
36314,"male",21,"No","visual",1,55.55555556
36314,"male",21,"No","audio",1,77.77777778
36363,"non-binary",21,"Yes","visual",1,88.88888889
36363,"non-binary",21,"Yes","audio",1,44.44444444
36372,"male",21,"No","audio",1,77.77777778
36372,"male",21,"No","visual",1,33.33333333
36392,"male",21,"Yes","audio",1,55.55555556
36392,"male",21,"Yes","visual",1,44.44444444
36484,"male",21,"Yes","audio",1,100
36484,"male",21,"Yes","visual",1,100
36515,"male",21,"No","visual",1,55.55555556
36515,"male",21,"No","audio",1,66.66666667
36634,"male",21,"No","audio",1,88.88888889
36634,"male",21,"No","visual",1,66.66666667
36654,"female",21,"Yes","audio",1,100
36654,"female",21,"Yes","visual",1,66.66666667
36659,"male",21,"Yes","audio",1,88.88888889
36659,"male",21,"Yes","visual",1,55.55555556
36722,"female",22,"No","visual",1,55.55555556
36722,"female",22,"No","audio",1,88.88888889
36735,"male",21,"Yes","audio",1,88.88888889
36735,"male",21,"Yes","visual",1,44.44444444
36789,"male",21,"Yes","audio",1,66.66666667
36789,"male",21,"Yes","visual",1,44.44444444
36816,"female",23,"Yes","audio",1,66.66666667
36816,"female",23,"Yes","visual",1,55.55555556
36834,"female",22,"No","visual",1,66.66666667
36834,"female",22,"No","audio",1,55.55555556
36954,"male",22,"No","visual",1,77.77777778
36954,"male",22,"No","audio",1,88.88888889
37108,"female",21,"Yes","audio",1,55.55555556
37108,"female",21,"Yes","visual",1,55.55555556
37440,"male",21,"No","visual",1,66.66666667
37440,"male",21,"No","audio",1,88.88888889
37536,"female",22,"Yes","visual",1,77.77777778
37536,"female",22,"Yes","audio",1,55.55555556
37665,"male",21,"No","visual",1,44.44444444
37665,"male",21,"No","audio",1,66.66666667
