"ID","Grade","Treatment","IQPre","IQ8"
1,1,0,45,76
2,1,0,75,85
3,1,0,61,87
4,1,0,84,86
5,1,0,65,78
6,1,0,72,94
7,1,0,85,96
8,1,0,100,95
9,1,0,88,81
10,1,0,57,93
11,1,0,86,101
12,1,0,111,105
13,1,0,79,134
14,1,0,61,86
15,1,0,79,82
16,1,1,60,97
17,1,1,61,106
18,1,0,118,123
19,1,0,91,90
20,1,0,98,96
21,1,0,108,103
22,1,0,55,95
23,1,0,39,104
24,1,0,91,96
25,1,0,94,111
26,1,0,100,120
27,1,0,94,113
28,1,0,80,87
29,1,0,92,105
30,1,0,84,95
31,1,0,74,88
32,1,1,84,107
33,1,1,116,137
34,1,1,100,108
35,1,1,88,128
36,1,0,91,96
37,1,0,90,93
38,1,0,117,126
39,1,0,102,128
40,1,0,101,84
41,1,0,94,115
42,1,0,100,125
43,1,0,92,102
44,1,0,86,103
45,1,0,116,108
46,1,0,111,126
47,1,0,130,119
48,1,0,97,111
49,1,0,108,125
50,1,0,117,131
51,1,0,120,110
52,1,1,95,113
53,2,0,75,90
54,2,0,89,88
55,2,0,73,67
56,2,0,80,98
57,2,0,86,95
58,2,0,80,85
59,2,0,79,76
60,2,0,64,84
61,2,0,89,84
62,2,0,93,102
63,2,0,78,84
64,2,0,85,97
65,2,0,88,97
66,2,0,59,81
67,2,1,80,91
68,2,1,74,86
69,2,1,82,101
70,2,0,74,70
71,2,0,113,120
72,2,0,111,125
73,2,0,83,100
74,2,0,97,92
75,2,0,77,86
76,2,0,84,101
77,2,0,95,107
78,2,0,85,110
79,2,0,94,87
80,2,0,84,104
81,2,0,76,84
82,2,0,91,101
83,2,0,83,98
84,2,1,89,90
85,2,1,108,132
86,2,1,111,107
87,2,0,100,104
88,2,0,119,109
89,2,0,114,99
90,2,0,93,82
91,2,0,103,94
92,2,0,99,101
93,2,0,99,106
94,2,0,96,107
95,2,0,110,121
96,2,0,94,113
97,2,0,115,118
98,2,0,129,127
99,2,0,115,123
100,2,0,112,114
101,2,0,126,130
102,2,0,101,119
103,2,0,101,109
104,2,0,97,100
105,2,1,105,125
106,2,1,101,114
107,2,1,109,134
108,2,1,109,123
109,2,1,123,117
110,2,1,133,202
111,3,0,95,98
112,3,0,107,104
113,3,0,64,74
114,3,0,97,113
115,3,0,94,109
116,3,0,98,110
117,3,0,107,111
118,3,0,104,105
119,3,0,103,88
120,3,0,85,86
121,3,0,95,85
122,3,0,109,105
123,3,0,91,93
124,3,1,86,88
