"age","gender","condition","intellect","impression","hire"
29,"F","audio",7,8,7
27,"F","audio",6.66666666666667,5.66666666666667,5
27,"F","audio",7,9.33333333333333,6
40,"F","text",4.33333333333333,5.66666666666667,5
32,"F","text",2,2.33333333333333,2
24,"F","text",3,3,2
29,"F","audio",4.66666666666667,3.66666666666667,2
23,"F","text",2.66666666666667,2.66666666666667,3
28,"F","audio",6,5.33333333333333,4
34,"F","text",4.66666666666667,3.66666666666667,3
33,"F","text",6.66666666666667,8.33333333333333,5
28,"F","audio",10,9.66666666666667,9
28,"F","audio",7,6.66666666666667,5
25,"F","text",4.66666666666667,5.33333333333333,3
29,"F","text",1.66666666666667,1.33333333333333,1
28,"F","audio",10,7.66666666666667,8
48,"F","audio",3.33333333333333,3.33333333333333,2
31,"M","audio",5.66666666666667,4,4
27,"F","text",5.66666666666667,5,4
24,"F","text",4.66666666666667,5.66666666666667,4
32,"F","text",8,8.33333333333333,8
31,"M","text",2.66666666666667,1.66666666666667,3
NA,"M","text",7.33333333333333,8,6
NA,"M","audio",6.66666666666667,7.66666666666667,1
24,"F","audio",8.66666666666667,7.66666666666667,8
NA,"M","audio",7.66666666666667,8.66666666666667,6
32,"F","text",4.66666666666667,6.33333333333333,2
NA,"M","audio",5.66666666666667,7,5
38,"F","audio",6.66666666666667,8.33333333333333,8
27,"F","audio",4.33333333333333,5,5
27,"F","text",4.33333333333333,6.33333333333333,3
28,"M","text",3.33333333333333,4.33333333333333,2
38,"F","audio",7,5.66666666666667,6
25,"F","audio",6,8.33333333333333,9
NA,"M","text",5.66666666666667,7,6
47,"M","audio",7,8.66666666666667,8
42,"F","text",7.66666666666667,6.33333333333333,8
31,"F","audio",6,9.33333333333333,6
33,"F","audio",6.33333333333333,6.66666666666667,6
